"","UF","cod_uf","faixa_etaria","cod_faixa","perc_necessidade","erro_padrao","IC_inf","IC_sup","tipo_procedimento"
"93","Santa Catarina",42,"de 0 a 14 anos",1,30.1685,3.7073,22.9024,37.4346,"APS"
"94","Santa Catarina",42,"de 15 a 29 anos",2,43.1968,5.7609,31.9056,54.488,"APS"
"95","Santa Catarina",42,"de 30 a 59 anos",3,65.7555,6.0519,53.894,77.617,"APS"
"96","Santa Catarina",42,"60 anos e mais",4,39.4935,4.5851,30.5068,48.4801,"APS"
"97","Sergipe",28,"de 0 a 14 anos",1,58.1019,3.7719,50.7093,65.4946,"APS"
"98","Sergipe",28,"de 15 a 29 anos",2,66.9849,3.9738,59.1965,74.7734,"APS"
"99","Sergipe",28,"de 30 a 59 anos",3,73.6242,4.1036,65.5813,81.6672,"APS"
"100","Sergipe",28,"60 anos e mais",4,50.9454,4.3474,42.4246,59.4662,"APS"
"101","São Paulo",35,"de 0 a 14 anos",1,33.5042,5.2265,23.2604,43.7481,"APS"
"102","São Paulo",35,"de 15 a 29 anos",2,53.3244,7.8179,38.0017,68.6471,"APS"
"103","São Paulo",35,"de 30 a 59 anos",3,77.4822,3.4376,70.7447,84.2197,"APS"
"104","São Paulo",35,"60 anos e mais",4,49.7565,4.7001,40.5445,58.9684,"APS"
"105","Tocantins",17,"de 0 a 14 anos",1,55.5045,6.9192,41.9431,69.066,"APS"
"106","Tocantins",17,"de 15 a 29 anos",2,66.1128,5.0721,56.1717,76.0539,"APS"
"107","Tocantins",17,"de 30 a 59 anos",3,73.1126,8.7978,55.8692,90.3559,"APS"
"108","Tocantins",17,"60 anos e mais",4,42.5134,5.2935,32.1384,52.8884,"APS"
"109","Acre",12,"de 0 a 14 anos",1,15.7818,3.226,9.4588,22.1047,"Endodontia"
"110","Acre",12,"de 15 a 29 anos",2,14.6619,3.3444,8.107,21.2167,"Endodontia"
"111","Acre",12,"de 30 a 59 anos",3,12.8052,3.3179,6.3022,19.3083,"Endodontia"
"112","Acre",12,"60 anos e mais",4,3.9823,1.674,0.7013,7.2633,"Endodontia"
"113","Alagoas",27,"de 0 a 14 anos",1,7.153,2.9707,1.3305,12.9756,"Endodontia"
"114","Alagoas",27,"de 15 a 29 anos",2,9.6565,2.3487,5.0531,14.2598,"Endodontia"
"115","Alagoas",27,"de 30 a 59 anos",3,6.1233,2.1756,1.8591,10.3875,"Endodontia"
"116","Alagoas",27,"60 anos e mais",4,0.2602,0.1662,-0.0656,0.5859,"Endodontia"
"117","Amapá",16,"de 0 a 14 anos",1,6.5552,3.121,0.4382,12.6721,"Endodontia"
"118","Amapá",16,"de 15 a 29 anos",2,10.5155,5.2149,0.2944,20.7366,"Endodontia"
"119","Amapá",16,"de 30 a 59 anos",3,5.9188,1.674,2.6379,9.1998,"Endodontia"
"120","Amapá",16,"60 anos e mais",4,3.4287,1.2668,0.9459,5.9115,"Endodontia"
"121","Amazonas",13,"de 0 a 14 anos",1,13.1702,3.0472,7.1978,19.1427,"Endodontia"
"122","Amazonas",13,"de 15 a 29 anos",2,12.189,4.1246,4.1049,20.2732,"Endodontia"
"123","Amazonas",13,"de 30 a 59 anos",3,8.0644,1.44,5.242,10.8869,"Endodontia"
"124","Amazonas",13,"60 anos e mais",4,4.8191,1.6686,1.5487,8.0894,"Endodontia"
"125","Bahia",29,"de 0 a 14 anos",1,7.7099,2.42,2.9668,12.453,"Endodontia"
"126","Bahia",29,"de 15 a 29 anos",2,7.2576,3.476,0.4448,14.0703,"Endodontia"
"127","Bahia",29,"de 30 a 59 anos",3,16.9907,3.7004,9.738,24.2434,"Endodontia"
"128","Bahia",29,"60 anos e mais",4,5.5234,2.0107,1.5826,9.4642,"Endodontia"
"129","Ceará",23,"de 0 a 14 anos",1,6.7668,1.5758,3.6783,9.8553,"Endodontia"
"130","Ceará",23,"de 15 a 29 anos",2,6.7194,2.744,1.3412,12.0975,"Endodontia"
"131","Ceará",23,"de 30 a 59 anos",3,9.3918,3.2171,3.0865,15.6971,"Endodontia"
"132","Ceará",23,"60 anos e mais",4,1.3954,0.8164,-0.2047,2.9954,"Endodontia"
"133","Distrito Federal",53,"de 0 a 14 anos",1,5.6482,1.3904,2.923,8.3733,"Endodontia"
"134","Distrito Federal",53,"de 15 a 29 anos",2,5.7171,1.9317,1.931,9.5032,"Endodontia"
"135","Distrito Federal",53,"de 30 a 59 anos",3,8.691,2.0326,4.7071,12.6749,"Endodontia"
"136","Distrito Federal",53,"60 anos e mais",4,3.0798,1.6485,-0.1513,6.3108,"Endodontia"
"137","Espírito Santo",32,"de 0 a 14 anos",1,6.6406,2.9246,0.9085,12.3727,"Endodontia"
"138","Espírito Santo",32,"de 15 a 29 anos",2,12.8296,4.9006,3.2246,22.4345,"Endodontia"
"139","Espírito Santo",32,"de 30 a 59 anos",3,3.4246,1.9801,-0.4564,7.3056,"Endodontia"
"140","Espírito Santo",32,"60 anos e mais",4,4.7757,2.5178,-0.159,9.7105,"Endodontia"
"141","Goiás",52,"de 0 a 14 anos",1,11.0966,4.3552,2.5606,19.6327,"Endodontia"
"142","Goiás",52,"de 15 a 29 anos",2,14.5309,3.0979,8.4591,20.6028,"Endodontia"
"143","Goiás",52,"de 30 a 59 anos",3,15.9855,5.6221,4.9663,27.0046,"Endodontia"
"144","Goiás",52,"60 anos e mais",4,0.9782,0.3744,0.2443,1.712,"Endodontia"
"145","Maranhão",21,"de 0 a 14 anos",1,9.286,2.8134,3.7719,14.8002,"Endodontia"
"146","Maranhão",21,"de 15 a 29 anos",2,5.8905,3.7332,-1.4264,13.2075,"Endodontia"
"147","Maranhão",21,"de 30 a 59 anos",3,15.2146,4.2745,6.8367,23.5926,"Endodontia"
"148","Maranhão",21,"60 anos e mais",4,3.5013,1.9721,-0.364,7.3665,"Endodontia"
"149","Mato Grosso",51,"de 0 a 14 anos",1,13.607,3.7829,6.1927,21.0213,"Endodontia"
"150","Mato Grosso",51,"de 15 a 29 anos",2,16.2249,2.6739,10.9841,21.4658,"Endodontia"
"151","Mato Grosso",51,"de 30 a 59 anos",3,11.9856,2.5766,6.9355,17.0357,"Endodontia"
"152","Mato Grosso",51,"60 anos e mais",4,2.3887,1.7361,-1.014,5.7914,"Endodontia"
"153","Mato Grosso do Sul",50,"de 0 a 14 anos",1,3.9814,1.4291,1.1804,6.7823,"Endodontia"
"154","Mato Grosso do Sul",50,"de 15 a 29 anos",2,9.7128,3.0934,3.6498,15.7758,"Endodontia"
"155","Mato Grosso do Sul",50,"de 30 a 59 anos",3,6.6287,2.5525,1.6259,11.6315,"Endodontia"
"156","Mato Grosso do Sul",50,"60 anos e mais",4,5.8537,2.016,1.9025,9.8049,"Endodontia"
"157","Minas Gerais",31,"de 0 a 14 anos",1,5.319,1.1534,3.0584,7.5796,"Endodontia"
"158","Minas Gerais",31,"de 15 a 29 anos",2,6.2058,2.3332,1.6327,10.7788,"Endodontia"
"159","Minas Gerais",31,"de 30 a 59 anos",3,13.003,3.6301,5.8882,20.1179,"Endodontia"
"160","Minas Gerais",31,"60 anos e mais",4,2.3374,0.9402,0.4947,4.1802,"Endodontia"
"161","Paraná",41,"de 0 a 14 anos",1,5,1.7758,1.5196,8.4805,"Endodontia"
"162","Paraná",41,"de 15 a 29 anos",2,6.812,3.002,0.9282,12.6958,"Endodontia"
"163","Paraná",41,"de 30 a 59 anos",3,7.892,2.9071,2.1943,13.5897,"Endodontia"
"164","Paraná",41,"60 anos e mais",4,1.2166,0.5874,0.0654,2.3679,"Endodontia"
"165","Paraíba",25,"de 0 a 14 anos",1,3.9809,1.2121,1.6051,6.3566,"Endodontia"
"166","Paraíba",25,"de 15 a 29 anos",2,4.8401,2.5406,-0.1393,9.8195,"Endodontia"
"167","Paraíba",25,"de 30 a 59 anos",3,8.1724,1.7875,4.669,11.6758,"Endodontia"
"168","Paraíba",25,"60 anos e mais",4,2.17,1.0554,0.1014,4.2387,"Endodontia"
"169","Pará",15,"de 0 a 14 anos",1,9.4324,1.771,5.9613,12.9035,"Endodontia"
"170","Pará",15,"de 15 a 29 anos",2,8.2927,3.0415,2.3314,14.2539,"Endodontia"
"171","Pará",15,"de 30 a 59 anos",3,7.3785,1.7129,4.0213,10.7356,"Endodontia"
"172","Pará",15,"60 anos e mais",4,3.321,1.3831,0.6103,6.0318,"Endodontia"
"173","Pernambuco",26,"de 0 a 14 anos",1,7.7309,1.3563,5.0725,10.3892,"Endodontia"
"174","Pernambuco",26,"de 15 a 29 anos",2,9.5437,4.0662,1.5741,17.5132,"Endodontia"
"175","Pernambuco",26,"de 30 a 59 anos",3,12.3985,4.7843,3.0215,21.7755,"Endodontia"
"176","Pernambuco",26,"60 anos e mais",4,2.1633,1.055,0.0955,4.231,"Endodontia"
"177","Piauí",22,"de 0 a 14 anos",1,11.0628,3.4826,4.237,17.8887,"Endodontia"
"178","Piauí",22,"de 15 a 29 anos",2,14.3151,3.6933,7.0764,21.5539,"Endodontia"
"179","Piauí",22,"de 30 a 59 anos",3,6.9236,2.47,2.0825,11.7646,"Endodontia"
"180","Piauí",22,"60 anos e mais",4,3.0945,1.9062,-0.6416,6.8307,"Endodontia"
"181","Rio Grande do Norte",24,"de 0 a 14 anos",1,14.6652,5.3047,4.2683,25.0622,"Endodontia"
"182","Rio Grande do Norte",24,"de 15 a 29 anos",2,21.7164,7.0611,7.8768,35.5559,"Endodontia"
"183","Rio Grande do Norte",24,"de 30 a 59 anos",3,5.4942,2.0193,1.5364,9.452,"Endodontia"
"184","Rio Grande do Norte",24,"60 anos e mais",4,3.6678,1.6988,0.3383,6.9973,"Endodontia"
"185","Rio Grande do Sul",43,"de 0 a 14 anos",1,8.3127,3.2063,2.0283,14.597,"Endodontia"
"186","Rio Grande do Sul",43,"de 15 a 29 anos",2,5.2358,2.6036,0.1329,10.3386,"Endodontia"
"187","Rio Grande do Sul",43,"de 30 a 59 anos",3,10.3717,3.9228,2.6832,18.0602,"Endodontia"
"188","Rio Grande do Sul",43,"60 anos e mais",4,3.8737,1.8527,0.2425,7.5049,"Endodontia"
"189","Rio de Janeiro",33,"de 0 a 14 anos",1,6.045,2.8319,0.4945,11.5954,"Endodontia"
"190","Rio de Janeiro",33,"de 15 a 29 anos",2,5.6415,1.8271,2.0604,9.2225,"Endodontia"
"191","Rio de Janeiro",33,"de 30 a 59 anos",3,10.2914,2.5463,5.3008,15.282,"Endodontia"
"192","Rio de Janeiro",33,"60 anos e mais",4,2.0108,0.5429,0.9467,3.0749,"Endodontia"
"193","Rondônia",11,"de 0 a 14 anos",1,14.707,2.2177,10.3603,19.0538,"Endodontia"
"194","Rondônia",11,"de 15 a 29 anos",2,10.2895,2.293,5.7954,14.7836,"Endodontia"
"195","Rondônia",11,"de 30 a 59 anos",3,8.8782,2.5862,3.8093,13.9471,"Endodontia"
"196","Rondônia",11,"60 anos e mais",4,0.8831,0.502,-0.1008,1.867,"Endodontia"
"197","Roraima",14,"de 0 a 14 anos",1,10.0064,1.2312,7.5932,12.4196,"Endodontia"
"198","Roraima",14,"de 15 a 29 anos",2,17.3893,5.149,7.2973,27.4812,"Endodontia"
"199","Roraima",14,"de 30 a 59 anos",3,13.9661,1.8836,10.2743,17.6579,"Endodontia"
"200","Roraima",14,"60 anos e mais",4,0.8329,0.5295,-0.2049,1.8707,"Endodontia"
"201","Santa Catarina",42,"de 0 a 14 anos",1,4.341,1.4558,1.4878,7.1943,"Endodontia"
"202","Santa Catarina",42,"de 15 a 29 anos",2,7.2309,3.1676,1.0226,13.4392,"Endodontia"
"203","Santa Catarina",42,"de 30 a 59 anos",3,4.7566,1.7706,1.2863,8.2269,"Endodontia"
"204","Santa Catarina",42,"60 anos e mais",4,4.401,1.8781,0.72,8.0821,"Endodontia"
"205","Sergipe",28,"de 0 a 14 anos",1,12.9443,3.1559,6.7589,19.1297,"Endodontia"
"206","Sergipe",28,"de 15 a 29 anos",2,9.7163,3.647,2.5683,16.8643,"Endodontia"
"207","Sergipe",28,"de 30 a 59 anos",3,6.5402,2.1245,2.3762,10.7041,"Endodontia"
"208","Sergipe",28,"60 anos e mais",4,3.7633,1.9407,-0.0404,7.567,"Endodontia"
"209","São Paulo",35,"de 0 a 14 anos",1,6.7947,2.2929,2.3007,11.2887,"Endodontia"
"210","São Paulo",35,"de 15 a 29 anos",2,3.6395,1.4194,0.8575,6.4215,"Endodontia"
"211","São Paulo",35,"de 30 a 59 anos",3,5.8705,2.1545,1.6479,10.0932,"Endodontia"
"212","São Paulo",35,"60 anos e mais",4,3.7659,2.0428,-0.238,7.7698,"Endodontia"
"213","Tocantins",17,"de 0 a 14 anos",1,13.0832,4.4273,4.4058,21.7607,"Endodontia"
"214","Tocantins",17,"de 15 a 29 anos",2,18.0813,6.4476,5.4443,30.7184,"Endodontia"
"215","Tocantins",17,"de 30 a 59 anos",3,14.6622,7.4045,0.1496,29.1747,"Endodontia"
"216","Tocantins",17,"60 anos e mais",4,1.9818,1.5885,-1.1317,5.0953,"Endodontia"
"217","Acre",12,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"218","Acre",12,"de 30 a 59 anos",3,0,0,0,0,"Periodontia"
"219","Acre",12,"60 anos e mais",4,0.6647,0.5136,-0.3419,1.6713,"Periodontia"
"220","Acre",12,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"221","Alagoas",27,"de 15 a 29 anos",2,0.0411,0.0418,-0.0408,0.1231,"Periodontia"
"222","Alagoas",27,"de 30 a 59 anos",3,0.484,0.2483,-0.0026,0.9706,"Periodontia"
"223","Alagoas",27,"60 anos e mais",4,1.1731,0.9948,-0.7767,3.123,"Periodontia"
"224","Alagoas",27,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"225","Amapá",16,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"226","Amapá",16,"de 30 a 59 anos",3,0.88,0.6914,-0.4752,2.2351,"Periodontia"
"227","Amapá",16,"60 anos e mais",4,0,0,0,0,"Periodontia"
"228","Amapá",16,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"229","Amazonas",13,"de 15 a 29 anos",2,0.2517,0.2497,-0.2378,0.7411,"Periodontia"
"230","Amazonas",13,"de 30 a 59 anos",3,0.8993,0.4706,-0.0231,1.8216,"Periodontia"
"231","Amazonas",13,"60 anos e mais",4,2.5408,1.1838,0.2205,4.8611,"Periodontia"
"232","Amazonas",13,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"233","Bahia",29,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"234","Bahia",29,"de 30 a 59 anos",3,2.0477,1.1687,-0.2429,4.3383,"Periodontia"
"235","Bahia",29,"60 anos e mais",4,3.3734,1.2449,0.9334,5.8134,"Periodontia"
"236","Bahia",29,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"237","Ceará",23,"de 15 a 29 anos",2,0.3331,0.3298,-0.3133,0.9795,"Periodontia"
"238","Ceará",23,"de 30 a 59 anos",3,1.4852,0.9594,-0.3953,3.3656,"Periodontia"
"239","Ceará",23,"60 anos e mais",4,0.7615,0.3772,0.0222,1.5008,"Periodontia"
"240","Ceará",23,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"241","Distrito Federal",53,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"242","Distrito Federal",53,"de 30 a 59 anos",3,6.464,1.9055,2.7294,10.1986,"Periodontia"
"243","Distrito Federal",53,"60 anos e mais",4,2.3803,1.1152,0.1944,4.5661,"Periodontia"
"244","Distrito Federal",53,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"245","Espírito Santo",32,"de 15 a 29 anos",2,0.2153,0.1664,-0.1109,0.5415,"Periodontia"
"246","Espírito Santo",32,"de 30 a 59 anos",3,0.4596,0.2272,0.0143,0.905,"Periodontia"
"247","Espírito Santo",32,"60 anos e mais",4,0.4497,0.2433,-0.0272,0.9267,"Periodontia"
"248","Espírito Santo",32,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"249","Goiás",52,"de 15 a 29 anos",2,2.1143,2.0045,-1.8145,6.0431,"Periodontia"
"250","Goiás",52,"de 30 a 59 anos",3,1.1164,0.7737,-0.4001,2.6329,"Periodontia"
"251","Goiás",52,"60 anos e mais",4,5.9509,1.8185,2.3867,9.515,"Periodontia"
"252","Goiás",52,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"253","Maranhão",21,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"254","Maranhão",21,"de 30 a 59 anos",3,2.5178,2.4696,-2.3226,7.3582,"Periodontia"
"255","Maranhão",21,"60 anos e mais",4,2.3583,1.4463,-0.4764,5.1931,"Periodontia"
"256","Maranhão",21,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"257","Mato Grosso",51,"de 15 a 29 anos",2,1.8966,1.3147,-0.6801,4.4732,"Periodontia"
"258","Mato Grosso",51,"de 30 a 59 anos",3,4.6692,2.4285,-0.0905,9.429,"Periodontia"
"259","Mato Grosso",51,"60 anos e mais",4,1.9566,0.983,0.0299,3.8833,"Periodontia"
"260","Mato Grosso",51,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"261","Mato Grosso do Sul",50,"de 15 a 29 anos",2,0,0,0,0,"Periodontia"
"262","Mato Grosso do Sul",50,"de 30 a 59 anos",3,2.0606,1.0678,-0.0322,4.1535,"Periodontia"
"263","Mato Grosso do Sul",50,"60 anos e mais",4,1.9503,1.151,-0.3055,4.2061,"Periodontia"
"264","Mato Grosso do Sul",50,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"265","Minas Gerais",31,"de 15 a 29 anos",2,0.0347,0.035,-0.0338,0.1032,"Periodontia"
"266","Minas Gerais",31,"de 30 a 59 anos",3,2.1185,1.4155,-0.6558,4.8929,"Periodontia"
"267","Minas Gerais",31,"60 anos e mais",4,0.9649,0.5941,-0.1995,2.1293,"Periodontia"
"268","Minas Gerais",31,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"269","Paraná",41,"de 15 a 29 anos",2,0.6601,0.6527,-0.6191,1.9393,"Periodontia"
"270","Paraná",41,"de 30 a 59 anos",3,2.6841,1.2663,0.2022,5.166,"Periodontia"
"271","Paraná",41,"60 anos e mais",4,2.5644,1.1428,0.3247,4.8042,"Periodontia"
"272","Paraná",41,"de 0 a 14 anos",1,0,0,0,0,"Periodontia"
"273","Paraíba",25,"de 15 a 29 anos",2,0.059,0.0598,-0.0582,0.1762,"Periodontia"
"274","Paraíba",25,"de 30 a 59 anos",3,4.4535,2.659,-0.758,9.6651,"Periodontia"
